table,year,sex,class,type,estimate
904,2015,1,W1,4,667
904,2015,1,W2,4,179
904,2015,1,W3,4,1549
904,2015,1,W4,4,1564
904,2015,1,W5,4,924
904,2015,1,W6,4,902
904,2015,1,W7,4,565
904,2015,1,W8,4,1399
904,2015,1,W9,4,1641
904,2015,1,W10,4,386
904,2015,1,W11,4,106
904,2015,1,W12,4,173
904,2015,1,W13,4,539
904,2015,1,W14,4,905
904,2015,1,W15,4,1724
904,2015,1,W1,5,4.6
904,2015,1,W2,5,9.3
904,2015,1,W3,5,1
904,2015,1,W4,5,1
904,2015,1,W5,5,4.5
904,2015,1,W6,5,3.6
904,2015,1,W7,5,5
904,2015,1,W8,5,1.8
904,2015,1,W9,5,0.8
904,2015,1,W10,5,6.7
904,2015,1,W11,5,14.8
904,2015,1,W12,5,10.1
904,2015,1,W13,5,6.4
904,2015,1,W14,5,3.4
904,2015,1,W15,5,0
904,2015,1,W1,6,
904,2015,1,W2,6,
904,2015,1,W3,6,
904,2015,1,W4,6,
904,2015,1,W5,6,
904,2015,1,W6,6,
904,2015,1,W7,6,
904,2015,1,W8,6,
904,2015,1,W9,6,
904,2015,1,W10,6,
904,2015,1,W11,6,
904,2015,1,W12,6,
904,2015,1,W13,6,
904,2015,1,W14,6,
904,2015,1,W15,6,
904,2015,1,W1,7,
904,2015,1,W2,7,
904,2015,1,W3,7,
904,2015,1,W4,7,
904,2015,1,W5,7,
904,2015,1,W6,7,
904,2015,1,W7,7,
904,2015,1,W8,7,
904,2015,1,W9,7,
904,2015,1,W10,7,
904,2015,1,W11,7,
904,2015,1,W12,7,
904,2015,1,W13,7,
904,2015,1,W14,7,
904,2015,1,W15,7,
904,2015,2,W1,4,729
904,2015,2,W2,4,170
904,2015,2,W3,4,1641
904,2015,2,W4,4,1664
904,2015,2,W5,4,979
904,2015,2,W6,4,966
904,2015,2,W7,4,477
904,2015,2,W8,4,1448
904,2015,2,W9,4,1743
904,2015,2,W10,4,400
904,2015,2,W11,4,101
904,2015,2,W12,4,278
904,2015,2,W13,4,594
904,2015,2,W14,4,989
904,2015,2,W15,4,1831
904,2015,2,W1,5,3.9
904,2015,2,W2,5,10.7
904,2015,2,W3,5,1.3
904,2015,2,W4,5,1.1
904,2015,2,W5,5,4.6
904,2015,2,W6,5,3.3
904,2015,2,W7,5,5.1
904,2015,2,W8,5,1.9
904,2015,2,W9,5,0.8
904,2015,2,W10,5,5.9
904,2015,2,W11,5,13.5
904,2015,2,W12,5,7.4
904,2015,2,W13,5,5.9
904,2015,2,W14,5,3
904,2015,2,W15,5,0
904,2015,2,W1,6,
904,2015,2,W2,6,
904,2015,2,W3,6,
904,2015,2,W4,6,
904,2015,2,W5,6,
904,2015,2,W6,6,
904,2015,2,W7,6,
904,2015,2,W8,6,
904,2015,2,W9,6,
904,2015,2,W10,6,
904,2015,2,W11,6,
904,2015,2,W12,6,
904,2015,2,W13,6,
904,2015,2,W14,6,
904,2015,2,W15,6,
904,2015,2,W1,7,
904,2015,2,W2,7,
904,2015,2,W3,7,
904,2015,2,W4,7,
904,2015,2,W5,7,
904,2015,2,W6,7,
904,2015,2,W7,7,
904,2015,2,W8,7,
904,2015,2,W9,7,
904,2015,2,W10,7,
904,2015,2,W11,7,
904,2015,2,W12,7,
904,2015,2,W13,7,
904,2015,2,W14,7,
904,2015,2,W15,7,
904,2015,3,W1,4,1395
904,2015,3,W2,4,350
904,2015,3,W3,4,3190
904,2015,3,W4,4,3228
904,2015,3,W5,4,1903
904,2015,3,W6,4,1868
904,2015,3,W7,4,1042
904,2015,3,W8,4,2847
904,2015,3,W9,4,3384
904,2015,3,W10,4,786
904,2015,3,W11,4,207
904,2015,3,W12,4,451
904,2015,3,W13,4,1133
904,2015,3,W14,4,1894
904,2015,3,W15,4,3555
904,2015,3,W1,5,3.9
904,2015,3,W2,5,8.8
904,2015,3,W3,5,1
904,2015,3,W4,5,0.8
904,2015,3,W5,5,4.3
904,2015,3,W6,5,2.9
904,2015,3,W7,5,4.3
904,2015,3,W8,5,1.5
904,2015,3,W9,5,0.6
904,2015,3,W10,5,5.9
904,2015,3,W11,5,12.8
904,2015,3,W12,5,6.9
904,2015,3,W13,5,5.4
904,2015,3,W14,5,2.7
904,2015,3,W15,5,0
904,2015,3,W1,6,
904,2015,3,W2,6,
904,2015,3,W3,6,
904,2015,3,W4,6,
904,2015,3,W5,6,
904,2015,3,W6,6,
904,2015,3,W7,6,
904,2015,3,W8,6,
904,2015,3,W9,6,
904,2015,3,W10,6,
904,2015,3,W11,6,
904,2015,3,W12,6,
904,2015,3,W13,6,
904,2015,3,W14,6,
904,2015,3,W15,6,
904,2015,3,W1,7,
904,2015,3,W2,7,
904,2015,3,W3,7,
904,2015,3,W4,7,
904,2015,3,W5,7,
904,2015,3,W6,7,
904,2015,3,W7,7,
904,2015,3,W8,7,
904,2015,3,W9,7,
904,2015,3,W10,7,
904,2015,3,W11,7,
904,2015,3,W12,7,
904,2015,3,W13,7,
904,2015,3,W14,7,
904,2015,3,W15,7,
904,2018,1,W1,4,709
904,2018,1,W2,4,179
904,2018,1,W3,4,1696
904,2018,1,W4,4,1702
904,2018,1,W5,4,1755
904,2018,1,W6,4,973
904,2018,1,W7,4,576
904,2018,1,W8,4,1806
904,2018,1,W9,4,1832
904,2018,1,W10,4,459
904,2018,1,W11,4,95
904,2018,1,W12,4,226
904,2018,1,W13,4,894
904,2018,1,W14,4,1186
904,2018,1,W15,4,1858
904,2018,1,W1,5,4.3
904,2018,1,W2,5,12
904,2018,1,W3,5,1.2
904,2018,1,W4,5,1.1
904,2018,1,W5,5,0.9
904,2018,1,W6,5,3.8
904,2018,1,W7,5,5.5
904,2018,1,W8,5,0.6
904,2018,1,W9,5,0.4
904,2018,1,W10,5,6.3
904,2018,1,W11,5,17.1
904,2018,1,W12,5,9.2
904,2018,1,W13,5,3.6
904,2018,1,W14,5,2.7
904,2018,1,W15,5,0
904,2018,1,W1,6,6.3
904,2018,1,W2,6,-0.3
904,2018,1,W3,6,9.5
904,2018,1,W4,6,8.8
904,2018,1,W5,6,89.9
904,2018,1,W6,6,8
904,2018,1,W7,6,2
904,2018,1,W8,6,29.1
904,2018,1,W9,6,11.7
904,2018,1,W10,6,19
904,2018,1,W11,6,-10.3
904,2018,1,W12,6,30.4
904,2018,1,W13,6,65.9
904,2018,1,W14,6,31.1
904,2018,1,W15,6,7.8
904,2018,1,W1,7,6
904,2018,1,W2,7,15.1
904,2018,1,W3,7,1.8
904,2018,1,W4,7,1.7
904,2018,1,W5,7,8.6
904,2018,1,W6,7,6
904,2018,1,W7,7,7.6
904,2018,1,W8,7,2.5
904,2018,1,W9,7,1
904,2018,1,W10,7,10.3
904,2018,1,W11,7,21.8
904,2018,1,W12,7,17.7
904,2018,1,W13,7,12.2
904,2018,1,W14,7,5.5
904,2018,1,W15,7,0
904,2018,2,W1,4,761
904,2018,2,W2,4,177
904,2018,2,W3,4,1769
904,2018,2,W4,4,1777
904,2018,2,W5,4,1837
904,2018,2,W6,4,999
904,2018,2,W7,4,518
904,2018,2,W8,4,1883
904,2018,2,W9,4,1919
904,2018,2,W10,4,448
904,2018,2,W11,4,91
904,2018,2,W12,4,323
904,2018,2,W13,4,966
904,2018,2,W14,4,1260
904,2018,2,W15,4,1951
904,2018,2,W1,5,4.1
904,2018,2,W2,5,13
904,2018,2,W3,5,1.1
904,2018,2,W4,5,1
904,2018,2,W5,5,0.9
904,2018,2,W6,5,3.9
904,2018,2,W7,5,6
904,2018,2,W8,5,0.7
904,2018,2,W9,5,0.4
904,2018,2,W10,5,6.7
904,2018,2,W11,5,18.5
904,2018,2,W12,5,6.5
904,2018,2,W13,5,2.9
904,2018,2,W14,5,2.5
904,2018,2,W15,5,0
904,2018,2,W1,6,4.4
904,2018,2,W2,6,3.8
904,2018,2,W3,6,7.8
904,2018,2,W4,6,6.8
904,2018,2,W5,6,87.7
904,2018,2,W6,6,3.4
904,2018,2,W7,6,8.5
904,2018,2,W8,6,30.1
904,2018,2,W9,6,10.1
904,2018,2,W10,6,11.8
904,2018,2,W11,6,-10
904,2018,2,W12,6,16.3
904,2018,2,W13,6,62.6
904,2018,2,W14,6,27.4
904,2018,2,W15,6,6.5
904,2018,2,W1,7,5.2
904,2018,2,W2,7,17.3
904,2018,2,W3,7,1.7
904,2018,2,W4,7,1.6
904,2018,2,W5,7,8.8
904,2018,2,W6,7,5.3
904,2018,2,W7,7,8.6
904,2018,2,W8,7,2.6
904,2018,2,W9,7,1
904,2018,2,W10,7,10.4
904,2018,2,W11,7,21.9
904,2018,2,W12,7,11.3
904,2018,2,W13,7,10.9
904,2018,2,W14,7,4.8
904,2018,2,W15,7,0
904,2018,3,W1,4,1470
904,2018,3,W2,4,356
904,2018,3,W3,4,3465
904,2018,3,W4,4,3479
904,2018,3,W5,4,3592
904,2018,3,W6,4,1972
904,2018,3,W7,4,1094
904,2018,3,W8,4,3689
904,2018,3,W9,4,3751
904,2018,3,W10,4,907
904,2018,3,W11,4,186
904,2018,3,W12,4,549
904,2018,3,W13,4,1860
904,2018,3,W14,4,2447
904,2018,3,W15,4,3809
904,2018,3,W1,5,3.8
904,2018,3,W2,5,11.4
904,2018,3,W3,5,0.9
904,2018,3,W4,5,0.8
904,2018,3,W5,5,0.7
904,2018,3,W6,5,3.2
904,2018,3,W7,5,4.9
904,2018,3,W8,5,0.5
904,2018,3,W9,5,0.3
904,2018,3,W10,5,6
904,2018,3,W11,5,16.2
904,2018,3,W12,5,5.7
904,2018,3,W13,5,2.6
904,2018,3,W14,5,2.1
904,2018,3,W15,5,0
904,2018,3,W1,6,5.3
904,2018,3,W2,6,1.7
904,2018,3,W3,6,8.6
904,2018,3,W4,6,7.8
904,2018,3,W5,6,88.8
904,2018,3,W6,6,5.6
904,2018,3,W7,6,5
904,2018,3,W8,6,29.6
904,2018,3,W9,6,10.9
904,2018,3,W10,6,15.3
904,2018,3,W11,6,-10.1
904,2018,3,W12,6,21.7
904,2018,3,W13,6,64.2
904,2018,3,W14,6,29.2
904,2018,3,W15,6,7.1
904,2018,3,W1,7,5
904,2018,3,W2,7,14.4
904,2018,3,W3,7,1.4
904,2018,3,W4,7,1.2
904,2018,3,W5,7,8.2
904,2018,3,W6,7,4.9
904,2018,3,W7,7,6.9
904,2018,3,W8,7,2.1
904,2018,3,W9,7,0.7
904,2018,3,W10,7,9.6
904,2018,3,W11,7,19.8
904,2018,3,W12,7,11.2
904,2018,3,W13,7,9.7
904,2018,3,W14,7,4.3
904,2018,3,W15,7,0
